Wahltermin;Kandidatennummer;Titel;Nachname;Vorname;Jahrgang;Partei;Wahlkreis;Bundesland;Listenplatz
;;;Lamers;Dr. Karl;1951;CDU;274;Baden-Württemberg;10
;;;Lammert;Prof. Dr. Norbert;1948;CDU;141;Nordrhein-Westfalen;1
;;;Lampl;Hans;1941;RRP;216;Bayern;2
;;;Lamprecht;Monika;1946;;236;;
;;;Lanari;Stefan;1959;DIE LINKE;;Schleswig-Holstein;7
;;;Landauer;Dr. Peter;1951;;221;;
;;;Landgraf;Barbara Katharina;1954;CDU;155;Sachsen;5
;;;Lanfermann;Heinz;1950;FDP;61;Brandenburg;1
;;;Lang;Peter;1940;ADM;;Baden-Württemberg;3
;;;Lang;Rudolf;1953;ödp;247;Bayern;7
;;;Langanki;Jürgen;1972;REP;249;Bayern;15
;;;Lange;Christian;1964;SPD;269;Baden-Württemberg;4
;;;Lange;Cornelia;1959;CDU;;Hessen;29
;;;Lange;Hans-Jürgen;1936;;268;;
;;;Lange;Helmut Walter Wolfgang;1952;MLPD;55;Bremen;1
;;;Lange;Robert;1980;PIRATEN;;Hessen;5
;;;Lange;Ulrich;1969;CSU;254;;
;;;Lange;Volker Rainer Hartmut;1967;SPD;;Niedersachsen;50
;;;Lange;Wanja Max;1987;MLPD;;Bremen;3
;;;Langefeld;Jörn;1964;FDP;91;Nordrhein-Westfalen;52
;;;Langen;Doreen;1979;NPD;241;;
;;;Langensiepen;Heidemarie Regine Elke (Heidi);1944;FDP;;Rheinland-Pfalz;18
;;;Langer;Michael;1962;REP;;Hessen;6
;;;Langer;Dr. Vera Isabella;1978;FDP;185;Hessen;12
;;;Langguth;Iris;1959;GRÜNE;298;;
;;;Lanius-Heck;Rita;1959;CDU;;Rheinland-Pfalz;25
;;;Lanzinger;Barbara Maria;1954;CSU;;Bayern;23
;;;Lapsien;Dr. Jürgen Hans;1957;ödp;;Nordrhein-Westfalen;10
;;;Lardon;Dr. Hartmut;1953;FDP;209;Rheinland-Pfalz;11
;;;Laubel;Thomas;1978;PIRATEN;;Baden-Württemberg;2
;;;Lauer;Paul;1957;FDP;282;Baden-Württemberg;31
;;;Lauinger;Dieter;1962;GRÜNE;193;Thüringen;2
;;;Laurisch;Dennis;1978;PIRATEN;271;Baden-Württemberg;1
;;;Laurischk;Mario Michael;1975;CDU;65;Brandenburg;9
;;;Laurischk;Sibylle;1954;FDP;284;Baden-Württemberg;6
;;;Lausberg;Dr. Conrad;1959;ödp;220;Bayern;23
;;;Lauterbach;Brigitte Renate;1934;NPD;160;;
;;;Lauterbach;Prof. Dr. Karl;1963;SPD;102;Nordrhein-Westfalen;49
;;;Laux;Claudia Marianne;1966;GRÜNE;;Rheinland-Pfalz;9
;;;Lay;Caren Nicole;1972;DIE LINKE;157;Sachsen;7
;;;Lazar;Monika;1967;GRÜNE;154;Sachsen;1
;;;Leber;Tim;1966;FAMILIE;;Saarland;7
;;;Lebmeier;Josef;1963;BüSo;;Bayern;7
;;;Lechner;Sebastian;1980;CDU;44;Niedersachsen;23
;;;Lechner;Thomas Gerhard;1966;FAMILIE;;Bayern;15
;;;Lechte;Ulrich Werner Maria;1977;FDP;;Bayern;21
;;;Lederer;Dr. Klaus;1974;DIE LINKE;76;Berlin;6
;;;Lederle;Felix Paul Edgar;1975;DIE LINKE;78;;
;;;Lehle;Bernhard;1963;GRÜNE;263;;
;;;Lehmann;Klaus;1935;ödp;;Rheinland-Pfalz;3
;;;Lehmann;Uwe;1959;;68;;
;;;Lehmer;Dr. Max;1946;CSU;214;;
;;;Lehming;Erwine;1928;NPD;95;;
;;;Lehmler;Aloys;1951;NPD;297;Saarland;3
;;;Lehner;Dr. Kurt;1967;FDP;76;Berlin;10
;;;Lehnert;Ruben;1978;DIE LINKE;83;;
;;;Lehrberger;Sebastian;1955;Freie Union;225;;
;;;Lehrieder;Paul;1959;CSU;251;;
;;;Leibrecht;Harald;1961;FDP;266;Baden-Württemberg;4
;;;Leidig;Sabine;1961;DIE LINKE;187;Hessen;1
;;;Leidinger;Markus;1984;SPD;;Rheinland-Pfalz;23
;;;Leinen;Prof. Dr. Felix;1957;ödp;206;Rheinland-Pfalz;2
;;;Lelke;Andreas;1980;BüSo;;Hessen;4
;;;Lemke;Helmut;1942;RENTNER;;Schleswig-Holstein;3
;;;Lemm;Michael;1975;DIE LINKE;;Thüringen;13
;;;Lemme;Steffen-Claudio;1965;SPD;191;Thüringen;3
;;;Lemmermeier;Siegfried;1955;;254;;
;;;Lempp;Dr. Hans-Volkhard;1964;CSU;;Bayern;61
;;;Lenger;Tammo;1974;GRÜNE;26;;
;;;Lengert;Peter;1957;DIE LINKE;;Thüringen;12
;;;Lengsfeld;Vera;1952;CDU;84;Berlin;6
;;;Lenk;Sebastian;1982;CDU;;Thüringen;13
;;;Lenkert;Ralph;1967;DIE LINKE;194;Thüringen;1
;;;Lenz;Jürgen;1960;;168;;
;;;Lenz-Aktas;Ingrid;1961;SPD;222;Bayern;36
;;;Leonhard;Dr. Elke;1949;SPD;203;Rheinland-Pfalz;12
;;;Leonhard;Gino;1972;FDP;15;;
;;;Leopold;Sabine;1958;MLPD;;Nordrhein-Westfalen;22
;;;Lerch;Helga;1955;FDP;;Rheinland-Pfalz;19
;;;Leucht;Maximilian;1979;FDP;223;Bayern;23
;;;Leusmann;Bernhard;1935;ADM;;Baden-Württemberg;2
;;;Leutert;Michael Gerhard;1974;DIE LINKE;163;Sachsen;6
;;;Leutheusser-Schnarrenberger;Sabine;1951;FDP;224;Bayern;1
;;;Lewis;Christopher;1945;BüSo;;Hessen;6
;;;Leyen von der;Dr. Ursula;1958;CDU;43;Niedersachsen;1
;;;Leyendecker;Rainer;1956;;271;;
;;;Lieb;Robert;1963;REP;;Bayern;24
;;;Liebeck;Maria;1957;CDU;;Nordrhein-Westfalen;58
;;;Liebehenz;Marc;1977;FDP;126;Nordrhein-Westfalen;49
;;;Liebenow;Fritz;1949;NPD;80;;
;;;Liebhart;Werner Hans;1963;FDP;;Bayern;51
;;;Liebich;Stefan;1972;DIE LINKE;77;Berlin;4
;;;Liebing;Ingbert;1963;CDU;2;Schleswig-Holstein;7
;;;Liederwald;Hans Dieter;1964;DVU;;Rheinland-Pfalz;1
;;;Liedy;Ulrike;1960;FAMILIE;;Rheinland-Pfalz;5
;;;Lierse;Lore;1955;NPD;59;Brandenburg;6
;;;Lietz;Matthias;1953;CDU;16;Mecklenburg-Vorpommern;3
;;;Lillge;Ulrike;1950;BüSo;;Brandenburg;1
;;;Lillge;Dr. Wolfgang;1950;BüSo;87;Berlin;3
;;;Limmer;Kai;1978;NPD;237;;
;;;Lindemann;Hendrik;1964;FDP;250;Bayern;58
;;;Lindemann;Lars Friedrich;1971;FDP;;Berlin;2
;;;Lindemann;Thomas;1980;NPD;71;;
;;;Linden;Hans;1936;Volksabst.;;Nordrhein-Westfalen;4
;;;Lindholz;Andrea;1970;CSU;;Bayern;29
;;;Lindlar;Manuel;1988;DIE LINKE;102;Nordrhein-Westfalen;18
;;;Lindlohr;Andrea;1975;GRÜNE;261;Baden-Württemberg;15
;;;Lindner;Christian;1979;FDP;101;Nordrhein-Westfalen;9
;;;Lindner;Dietmar;1945;FAMILIE;;Bayern;14
;;;Lindner;Dr. Martin;1964;FDP;77;Berlin;1
;;;Lindner;Tobias;1982;GRÜNE;212;Rheinland-Pfalz;6
;;;Lingnau;Dr. Hildegard;1964;GRÜNE;198;;
;;;Link;Heinz Werner;1957;BP;254;;
;;;Link;Dr. Manfred;1941;RRP;253;Bayern;3
;;;Link;Michael Georg;1963;FDP;267;Baden-Württemberg;9
;;;Link;Peter Wigbert;1963;CDU;;Niedersachsen;40
;;;Linke;Dr. Marianne Monika;1945;DIE LINKE;15;;
;;;Linnemann;Dr. Carsten;1977;CDU;138;;
;;;Linse;Julia;1982;CDU;;Rheinland-Pfalz;19
;;;Lips;Patricia;1963;CDU;187;Hessen;11
;;;Lischka;Burkhard;1965;SPD;70;Sachsen-Anhalt;2
;;;Lissner;Simon;1958;GRÜNE;178;;
;;;Litfin;Uwe;1958;FWD;;Brandenburg;5
;;;Lobeck;Sven;1976;NPD;200;Rheinland-Pfalz;4
;;;Lobocki;Ingeborg Anna;1946;DVU;;Schleswig-Holstein;2
;;;Loch;Wolfgang;1964;RRP;;Saarland;5
;;;Lockfisch;Klemens;1961;NPD;;Baden-Württemberg;4
;;;Loeber;Alfred;1944;RENTNER;;Nordrhein-Westfalen;5
;;;Löffler;Max;1988;GRÜNE;94;;
;;;Löffler;Oskar;1960;;295;;
;;;Löhr;Christoph;1983;PIRATEN;;Rheinland-Pfalz;5
;;;Löhr;Marlene;1985;GRÜNE;;Schleswig-Holstein;9
;;;Löning;Markus Michael Maria;1960;FDP;84;;
;;;Loepelmann;Johannes;1987;PIRATEN;;Mecklenburg-Vorpommern;6
;;;Loeper;Norbert;1953;RRP;;Niedersachsen;13
;;;Lörch;Bernhard Paul;1946;ödp;;Baden-Württemberg;9
;;;Lörcher;Wolfgang;1963;DIE LINKE;175;;
;;;Lörcks;Rudolf;1964;PIRATEN;;Nordrhein-Westfalen;5
;;;Lösekrug-Möller;Gabriele;1951;SPD;47;Niedersachsen;6
;;;Lötzer;Ursula Cornelia;1950;DIE LINKE;96;Nordrhein-Westfalen;1
;;;Lötzsch;Dr. Gesine;1961;DIE LINKE;87;Berlin;3
;;;Lohfing-Blanke;Klaus;1958;;190;;
;;;Lohmann;Dorothee;1942;MLPD;;Baden-Württemberg;12
;;;Lohmeier;Roland;1945;RRP;225;;
;;;Lohmeyer;Johannes Hubertus;1964;FDP;160;;
;;;Look;Mario;1964;ödp;;Berlin;2
;;;Lorent;Stefan;1961;DIE LINKE;;Baden-Württemberg;12
;;;Lorenz;Bernd Gerhard;1970;NPD;240;;
;;;Lorenz;Gertrud;1926;CDU;;Baden-Württemberg;61
;;;Lorenz;Joseph;1941;REP;236;;
;;;Lorenz;Kathrin;1969;CDU;;Thüringen;15
;;;Lorsbach;Kurt-Heinz;1958;REP;;Nordrhein-Westfalen;14
;;;Lotter;Dr. Erwin Georg;1951;FDP;253;Bayern;12
;;;Lotze;Hiltrud;1958;SPD;38;Niedersachsen;25
;;;Louis;Klaus;1959;NPD;287;;
;;;Lowack;Gert;1971;GRÜNE;237;Bayern;18
;;;Luczak;Dr. Jan-Marco;1975;CDU;82;Berlin;7
;;;Luczak;Jochen;1950;GRÜNE;88;Nordrhein-Westfalen;20
;;;Ludewig;Gottfried;1982;CDU;77;;
;;;Ludosan;Felix-Anton;1969;FAMILIE;;Rheinland-Pfalz;4
;;;Ludwig;Arne;1968;PIRATEN;;Niedersachsen;6
;;;Lübbe;Lars;1986;CDU;;Niedersachsen;44
;;;Lück;Andreas;1961;FDP;83;Berlin;7
;;;Lüder;Karl Heinz;1943;;17;;
;;;Lühmann;Kirsten;1964;SPD;45;Niedersachsen;8
;;;Lütke;Jens;1978;NPD;6;Schleswig-Holstein;2
;;;Lukaßen;David;1981;GRÜNE;;Bremen;4
;;;Lukner;Oliver;1970;FDP;292;Baden-Württemberg;27
;;;Luksic;Oliver;1979;FDP;298;Saarland;1
;;;Lurz;Manfred;1945;DIE LINKE;136;;
;;;Luther;Dr. Michael Andreas;1956;CDU;166;Sachsen;4
;;;Lutz;Hans-Jürgen;1948;Tierschutz;;Hessen;5
;;;Lutz;Janet;1970;GRÜNE;191;;
;;;Lutze;Thomas;1969;DIE LINKE;;Saarland;2
;;;Lux;Benedikt;1981;GRÜNE;80;;
;;;Lux;Josefa;1958;SPD;;Nordrhein-Westfalen;38
;;;Lux;Stefan;1959;NPD;;Berlin;6
;;;Maag;Karin;1962;CDU;259;Baden-Württemberg;8
;;;Maar;Herbert;1946;RRP;;Bayern;13
;;;Maaß;Jens;1975;Tierschutz;;Berlin;6
;;;Maaß;Simone;1967;GRÜNE;197;;
;;;Macamo;Bärbel Heike;1961;;189;;
;;;MacGregor;Wolfgang;1944;DIE LINKE;137;;
;;;Machleid;Andrea;1960;NPD;73;;
;;;Machner;Karin;1940;NPD;233;;
;;;Macholdt;Robert;1981;PIRATEN;;Hamburg;2
;;;Machon;Dr. Christian Hermann;1974;CSU;;Bayern;43
;;;Mack;Hermann;1953;REP;;Bayern;14
;;;Mackert;Dr. Roland;1951;;266;;
;;;Mädel;Wolfgang;1950;SPD;;Schleswig-Holstein;15
;;;Mäncher;Eric;1965;SPD;;Rheinland-Pfalz;33
;;;Mändlen;David;1988;PIRATEN;;Bayern;12
;;;Mahlberg;Thomas;1965;CDU;116;Nordrhein-Westfalen;36
;;;Mai;Franz-Josef;1943;ödp;;Thüringen;2
;;;Mai;Susann;1967;ödp;;Thüringen;7
;;;Maier;Edeltraud;1938;ödp;;Baden-Württemberg;5
;;;Maier;Franz;1963;BüSo;213;Bayern;5
;;;Maier;Norbert;1970;CDU;;Baden-Württemberg;57
;;;Maier;Sascha Andre;1984;NPD;127;;
;;;Mair;Bejamin;1983;BP;;Bayern;28
;;;Mair;Katrin;1981;CSU;;Bayern;26
;;;Maisch;Nicole;1981;GRÜNE;169;Hessen;3
;;;Maizière de;Dr. Karl Ernst Thomas;1954;CDU;156;Sachsen;1
;;;Majer;Thorsten;1978;SPD;266;Baden-Württemberg;27
;;;Majewski;Eva;1985;CDU;;Berlin;11
;;;Makhloufi;Lydia;1973;BüSo;;Nordrhein-Westfalen;7
;;;Malczak;Agnes;1985;GRÜNE;294;Baden-Württemberg;11
;;;Malecha-Nissen;Dr. Birgit;1958;SPD;6;Schleswig-Holstein;9
;;;Malirs;Hans-Jürgen;1945;FWD;;Brandenburg;1
;;;Maller;Anton;1957;BP;;Bayern;29
;;;Mallmenn;Roger;1976;DIE LINKE;201;;
;;;Malsch;Siegfried Heinrich Eduard;1937;RRP;;Bayern;18
;;;Manegold;Prof. Bodo;1948;CDU;;Berlin;14
;;;Manes;Ulrich;1946;REP;;Nordrhein-Westfalen;4
;;;Mang;Michael;1981;SPD;;Rheinland-Pfalz;22
;;;Mang;Sylvia;1951;DIE LINKE;255;Bayern;15
;;;Mangold-Nietzschmann;Maria-Barbara;1944;;252;;
;;;Mann;Manuel;1979;NPD;172;;
;;;Mantovanelli;Marco Gérard;1965;GRÜNE;132;Nordrhein-Westfalen;16
;;;Mantseris;Nicolas;1970;GRÜNE;18;Mecklenburg-Vorpommern;4
;;;Manz;Josef;1932;CDU;;Baden-Württemberg;63
;;;Manzewski;Dirk;1960;SPD;17;Mecklenburg-Vorpommern;3
;;;Marcian;Margitta;1946;Tierschutz;180;Hessen;1
;;;Markau;André;1964;NPD;78;;
;;;Markert;Hans Christian;1968;GRÜNE;111;;
;;;Market;Alfred;1953;REP;;Bayern;20
;;;Marklein;Steffen;1961;GRÜNE;17;Mecklenburg-Vorpommern;6
;;;Marks;Caren;1963;SPD;44;Niedersachsen;12
;;;Marmann;Yvonne;1976;CDU;;Rheinland-Pfalz;20
;;;Marohn;Ralf;1967;FDP;208;Rheinland-Pfalz;9
;;;Marschall;Rainer;1953;NPD;207;;
;;;Marschner;Frank;1957;NPD;185;Hessen;10
;;;Martens;Anke;1954;NPD;;Hamburg;6
;;;Martin;Axel;1983;PIRATEN;;Niedersachsen;9
;;;Martin;Günter;1954;;92;;
;;;Martin;Paula;1938;PBC;;Bayern;10
;;;Martin;Richard;1933;PBC;;Bayern;5
;;;Martini;Guido;1973;RRP;;Saarland;4
;;;Martini;Hans-Robert;1944;RRP;;Saarland;2
;;;Marwein;Thomas;1958;GRÜNE;284;;
;;;Marwitz von der;Hans-Georg;1961;CDU;60;Brandenburg;5
;;;Marx;Peter;1956;NPD;296;;
;;;Maßberg;Reinhard Helmut Anton;1947;BüSo;230;Bayern;4
;;;Maßon;Norbert;1957;DIE LINKE;273;;
;;;Mast;Katja;1971;SPD;279;Baden-Württemberg;13
;;;Mast;Dr. Willi Alfred;1947;MLPD;;Nordrhein-Westfalen;10
;;;Matheis;Ralf;1969;;289;;
;;;Mathiesen;Gert;1938;VIOLETTEN;;Bayern;15
;;;Matschke;Danny;1975;NPD;82;;
;;;Mattfeldt;Andreas;1969;CDU;35;Niedersachsen;28
;;;Mattheis;Hildegard;1954;SPD;291;Baden-Württemberg;5
;;;Matthes;Marcella;1983;FDP;;Hessen;23
;;;Matthiessen;Detlef;1954;GRÜNE;4;Schleswig-Holstein;6
;;;Matthiessen;Günter;1947;DIE LINKE;;Bremen;2
;;;Mattiat;Dietmar Friedrich Heinz Gerd;1946;DIE LINKE;41;;
;;;Maturana;Alexandre;1987;FDP;;Saarland;11
;;;Matysiak;Gerwin;1953;SPD;;Niedersachsen;46
;;;Maul;Frank Thomas;1964;REP;;Nordrhein-Westfalen;6
;;;Maurer;Ulrich;1948;DIE LINKE;259;Baden-Württemberg;1
;;;May;Michael Hans;1949;MLPD;;Nordrhein-Westfalen;6
;;;May;Dr. Oliver Matthias Werner;1967;FDP;;Sachsen;13
;;;Mayer;Bernhard;1977;ödp;;Bayern;24
;;;Mayer;Dieter;1938;SPD;;Hessen;23
;;;Mayer;Erna;1947;Tierschutz;;Hessen;6
;;;Mayer;Johann;1960;GRÜNE;235;;
;;;Mayer;Stephan Ernst Johann;1973;CSU;213;;
;;;Meckel;Markus;1952;SPD;58;Brandenburg;9
;;;Meckelburg;Wolfgang;1949;CDU;124;Nordrhein-Westfalen;25
;;;Mehldau;Axel;1959;PIRATEN;;Brandenburg;1
;;;Mehring;Walter Heinrich Christian;1926;RRP;48;Niedersachsen;4
;;;Meichelböck;Paul;1960;DIE LINKE;257;;
;;;Meier;Agnes;1965;FDP;243;Bayern;19
;;;Meier;Edmund;1959;MLPD;;Sachsen-Anhalt;8
;;;Meier;Rolf;1967;DKP;84;Berlin;3
;;;Meier;Sandy;1975;Tierschutz;;Berlin;2
;;;Meier;Wolfgang;1942;REP;;Baden-Württemberg;3
;;;Meierhofer;Horst;1972;FDP;233;Bayern;4
;;;Meihsies;Andreas;1960;GRÜNE;38;Niedersachsen;8
;;;Meinhardt;Patrick;1966;FDP;272;Baden-Württemberg;7
;;;Meischner;Wolfgang;1954;ödp;234;Bayern;26
;;;Meise;Ariane Christine;1960;NPD;98;Nordrhein-Westfalen;14
;;;Meister;Dr. Michael;1961;CDU;188;Hessen;7
;;;Meister;Roland Matthäus;1953;MLPD;;Nordrhein-Westfalen;12
;;;Meisterjahn;Albert-Claus;1939;RENTNER;;Nordrhein-Westfalen;7
;;;Meiwald;Peter;1966;GRÜNE;28;Niedersachsen;12
;;;Meixner;Edgar Bernhard Willibald;1964;FDP;232;Bayern;18
;;;Melber;Thomas;1965;REP;;Baden-Württemberg;19
;;;Melchers;Wilhelm Gerhard;1964;FDP;11;Schleswig-Holstein;6
;;;Melchinger;Thomas;1978;PIRATEN;260;;
;;;Melo-Plath;Christine;1956;ödp;;Bayern;25
;;;Menge;Volker;1962;RRP;;Bremen;2
;;;Mennicken-Martensen;Karl;1943;GRÜNE;282;;
;;;Menssen;Arend;1966;FAMILIE;;Bayern;3
;;;Menzner;Dorothée Luise;1965;DIE LINKE;52;Niedersachsen;2
;;;Meppen;Lübbo;1956;FDP;27;;
;;;Merk;Monika Manuela Carmen;1963;DIE LINKE;79;;
;;;Merkel;Dr. Angela Dorothea;1954;CDU;15;Mecklenburg-Vorpommern;1
;;;Merkel;Michael;1987;;187;;
;;;Merkel;Petra;1947;SPD;81;Berlin;2
;;;Merkelbach;Sabine;1966;FDP;;Hessen;27
;;;Mertel;Dr. Robert;1940;;221;;
;;;Merten;Ulrike;1951;SPD;99;Nordrhein-Westfalen;22
;;;Mertens;Joseph Andreas;1979;NPD;124;;
;;;Mertgen;Bettina;1977;CDU;;Hessen;32
;;;Meßmer;Ullrich;1954;SPD;168;Hessen;5
;;;Metzner;Heinz Dirk Karl;1957;DIE LINKE;;Niedersachsen;34
;;;Meyer;Barbara;1978;MLPD;169;Hessen;2
;;;Meyer;Carsten;1961;GRÜNE;;Thüringen;4
;;;Meyer;Cora;1979;NPD;33;;
;;;Meyer;Doris;1957;CSU;;Bayern;25
;;;Meyer;Hartmut Heinrich Johann;1956;ödp;;Niedersachsen;1
;;;Meyer;Heike;1962;CDU;;Hessen;25
;;;Meyer;Henry;1986;BüSo;;Brandenburg;4
;;;Meyer;Jens Gerd;1957;SPD;;Schleswig-Holstein;19
;;;Meyer;Jessica;1978;CDU;;Bremen;5
;;;Meyer;Laurenz;1948;CDU;146;Nordrhein-Westfalen;35
;;;Meyer;Maria;1954;MLPD;;Schleswig-Holstein;1
;;;Meyer;Michael;1976;NPD;28;;
;;;Meyer;Reinhardt Wilhelm;1953;MLPD;118;;
;;;Meyer;Steffen-Werner;1970;SPD;;Saarland;14
;;;Meyer;Torsten;1956;DVU;;Berlin;1
;;;Meyer;Wolfgang;1941;Volksabst.;;Nordrhein-Westfalen;7
;;;Meyer-Garbe;Andrea Erika Gesche Elisabeth;1967;SPD;;Niedersachsen;49
;;;Meyer-Giesow;Leo;1970;ödp;218;Bayern;27
;;;Meyer-Heithius;Joachim;1955;DIE LINKE;;Niedersachsen;15
;;;Meyerding;Bernd;1949;ödp;;Hamburg;10
;;;Michaelis;Axel;1965;NPD;236;Bayern;7
;;;Michalak;Ursula;1952;CDU;;Schleswig-Holstein;18
;;;Michalk;Maria Ludwiga;1949;CDU;157;Sachsen;3
;;;Michel;Dr. Marna;1966;CDU;;Schleswig-Holstein;23
;;;Michel-Biegel;Dr. Charlotte;1952;GRÜNE;280;;
;;;Michelbach;Hans;1949;CSU;238;Bayern;17
;;;Michlbauer;Matthäus;1966;BüSo;;Bayern;12
;;;Middelberg;Dr. Mathias;1964;CDU;40;Niedersachsen;14
;;;Miehling;Andrea;1984;BP;;Bayern;30
;;;Miersch;Dr. Matthias;1968;SPD;48;Niedersachsen;10
;;;Mini;Walter;1952;DIE LINKE;223;Bayern;24
;;;Minschke;Wilhelm;1943;FDP;156;;
;;;Miosga;Richard;1944;NPD;;Berlin;9
;;;Mischau;Evmarie-Gertrud;1958;MLPD;;Bayern;12
;;;Mischuda;Reinhard;1951;REP;;Brandenburg;3
;;;Miß;Günter;1954;ödp;228;Bayern;28
;;;Mißfelder;Philipp;1979;CDU;122;Nordrhein-Westfalen;16
;;;Mo;Kim-Sun;1978;PIRATEN;;Rheinland-Pfalz;6
;;;Mock-Hofeditz;Kerstin;1966;GRÜNE;;Schleswig-Holstein;11
;;;Model;Mona;1983;FDP;;Hessen;35
;;;Möhle;Klaus-Dieter Alfred August;1952;GRÜNE;56;Bremen;2
;;;Möhring;Cornelia;1960;DIE LINKE;5;Schleswig-Holstein;1
;;;Möllenstädt;Dr. Oliver;1978;FDP;56;Bremen;2
;;;Möller;Katrin;1967;DIE LINKE;;Berlin;11
;;;Möller;Kornelia;1961;DIE LINKE;228;Bayern;3
;;;Möller;Michael;1962;ZENTRUM;;Nordrhein-Westfalen;2
;;;Möller;Olaf;1962;GRÜNE;194;;
;;;Möller;Silke;1966;;192;;
;;;Mönikes;Jan;1970;SPD;265;;
;;;Mörsch;Frank;1971;CDU;;Rheinland-Pfalz;21
;;;Mörtel;Edith;1954;VIOLETTEN;;Bayern;4
;;;Moezer;Doris;1948;VIOLETTEN;;Bayern;7
;;;Mogg;Ursula;1953;SPD;200;Rheinland-Pfalz;10
;;;Mohme;Hans-Jürgen Wilhelm;1940;RRP;;Niedersachsen;10
;;;Mohr;Sebastian;1982;PIRATEN;;Bayern;10
;;;Mohr-Lüllmann;Dr. Rita-Maria Marianne Margareta Luzia;1957;CDU;55;Bremen;3
;;;Mohrmann;Claus;1969;FDP;57;Brandenburg;4
;;;Mohs;Christoph;1971;BüSo;;Baden-Württemberg;2
;;;Mohs;Hubertus;1939;BüSo;258;Baden-Württemberg;3
;;;Molitor;Helga Gabriele;1962;FDP;93;Nordrhein-Westfalen;18
;;;Moll;Dominik;1982;SPD;;Saarland;18
;;;Moll;Viola;1952;CDU;;Baden-Württemberg;52
;;;Monstadt;Dietrich;1957;CDU;13;Mecklenburg-Vorpommern;4
;;;Montag;Jerzy;1947;GRÜNE;220;Bayern;6
;;;Moritz;Monika;1952;SPD;;Saarland;27
;;;Mork;Adrian;1967;GRÜNE;146;;
;;;Mortler;Marlene;1955;CSU;246;Bayern;10
;;;Mosblech;Volker Peter;1955;CDU;117;Nordrhein-Westfalen;49
;;;Moser;Christian;1977;CSU;;Bayern;24
;;;Moslehner;Dr. Albrecht;1956;FDP;123;;
;;;Motter;Rudolf;1951;DVU;;Nordrhein-Westfalen;5
;;;Mouratidis;Daniel;1977;GRÜNE;264;;
;;;Movassat;Niema;1984;DIE LINKE;118;Nordrhein-Westfalen;8
;;;Mrosek;Holger;1971;GRÜNE;114;;
;;;Mücke;Jan;1973;FDP;161;Sachsen;1
;;;Mühlbeyer;Mark;1986;CDU;;Baden-Württemberg;50
;;;Mühleck;Dr. Otto Stephan;1953;ödp;;Baden-Württemberg;3
;;;Mühler-Aumann;Christine;1954;PBC;;Baden-Württemberg;5
;;;Mühlhäuser;Daniel;1977;PBC;;Bayern;3
;;;Mühlmann-Skupien;Jan;1968;FDP;63;Brandenburg;9
;;;Mühlstein;Marko;1974;SPD;67;Sachsen-Anhalt;4
;;;Müller;Adrian;1974;PIRATEN;;Schleswig-Holstein;2
;;;Müller;Alexander;1969;FDP;178;Hessen;14
;;;Müller;Dr. Alice;1976;CDU;;Hessen;22
;;;Müller;Andreas;1964;DIE LINKE;;Hessen;10
;;;Müller;Andreas;1959;DIE LINKE;89;;
;;;Müller;Anja;1973;DIE LINKE;190;Thüringen;7
;;;Müller;Dr. Axel;1944;GRÜNE;57;;
;;;Müller;Bernhard;1951;DIE LINKE;20;;
;;;Müller;Carsten;1970;CDU;51;Niedersachsen;20
;;;Müller;Detlef;1964;SPD;163;Sachsen;9
;;;Müller;Farid;1962;GRÜNE;19;;
;;;Müller;Dr. Gerd;1955;CSU;256;Bayern;11
;;;Müller;Hans;1952;BüSo;;Hessen;3
;;;Müller;Heiko;1972;PIRATEN;;Rheinland-Pfalz;2
;;;Müller;Dr. Josef;1954;SPD;;Bayern;54
;;;Müller;Kerstin;1963;GRÜNE;96;Nordrhein-Westfalen;9
;;;Mueller;Klaus;1980;PIRATEN;;Bayern;2
;;;Müller;Marcus;1972;NPD;155;;
;;;Müller;Michael;1948;SPD;107;Nordrhein-Westfalen;20
;;;Müller;Nadine;1983;CDU;298;Saarland;3
;;;Müller;Nikolas;1947;RENTNER;;Nordrhein-Westfalen;1
;;;Müller;Petra;1960;FDP;88;Nordrhein-Westfalen;14
;;;Müller;Roland;1941;NPD;293;;
;;;Müller;Stefan;1975;CSU;242;Bayern;9
;;;Müller;Thomas;1954;ödp;;Bayern;5
;;;Müller;Tino;1978;NPD;18;Mecklenburg-Vorpommern;2
;;;Müller;Veit-Harald;1941;MLPD;182;Hessen;1
;;;Müller;Vincent;1990;GRÜNE;195;Thüringen;5
;;;Müller-Gemmeke;Beate;1960;GRÜNE;289;Baden-Württemberg;5
;;;Müller-Horn;Esther;1968;MLPD;;Nordrhein-Westfalen;18
;;;Müller-Horn;Kai;1944;MLPD;107;;
;;;Müller-Kallweit;Wolfgang;1967;CDU;24;Hamburg;6
;;;Müller-Loennies;Renate;1944;CDU;;Schleswig-Holstein;27
;;;Müller-Sönksen;Burkhardt;1959;FDP;21;Hamburg;1
;;;Münch;Michael;1969;DVU;;Hessen;1
;;;Münd;Hans-Joachim;1962;REP;;Hessen;9
;;;Münster;Arno;1956;SPD;;Hamburg;7
;;;Müntefering;Franz;1940;SPD;;Nordrhein-Westfalen;1
;;;Münz;Susanne;1967;;58;;
;;;Münz;Volkmar;1965;;18;;
;;;Mützenich;Dr. Rolf;1959;SPD;96;Nordrhein-Westfalen;67
;;;Mulia;Marc;1969;DIE LINKE;116;Nordrhein-Westfalen;12
